CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,PrimaryCollisionFactor_Code,CollisionType_Code,Distance,CrashTime
591491,CR-0000053427,0,0,0,0,5,5,205.0,18
591492,CR-0000052844,0,0,0,0,5,3,111.0,13
591493,CR-0000043405,0,0,0,0,5,3,269.0,16
591494,CR-0000055960,1,0,0,0,5,0,0.0,7
591495,CR-0000048184,0,0,0,0,5,0,127.0,17
591496,CR-0000070186,1,0,0,0,5,8,0.0,14
591497,CR-0000070153,0,1,0,0,5,8,0.0,14
591498,CR-0000070456,0,0,0,0,5,5,70.0,19
591499,CR-0000048833,0,0,0,0,4,0,0.0,18
591500,CR-0000048829,0,0,0,0,5,3,575.0,19
591501,CR-0000053845,1,0,0,0,5,6,13.0,10
591502,CR-0000053546,4,0,0,0,5,0,0.0,16
591503,CR-0000054870,1,0,0,0,5,5,56.0,22
591504,CR-0000055433,0,0,0,0,5,3,0.0,1
591505,CR-0000055395,0,0,0,0,5,3,0.0,15
591506,CR-0000067740,1,0,0,0,5,5,600.0,19
591507,CR-0000061638,1,0,0,0,5,2,51.0,23
591508,CR-0000067789,1,0,0,0,5,2,98.0,11
591509,CR-0000062173,0,0,0,0,5,0,617.0,14
591510,CR-0000045375,0,0,0,0,5,3,0.0,17
591511,CR-0000048996,0,0,0,0,5,3,20.0,22
591512,CR-0000045862,0,1,0,0,5,3,0.0,20
591513,CR-0000046489,1,0,0,0,5,3,0.0,9
591514,CR-0000054241,0,1,1,0,5,3,250.0,6
591515,CR-0000038413,0,0,0,0,5,3,455.0,18
591516,CR-0000038528,0,0,0,0,5,3,170.0,18
591517,CR-0000054063,0,1,0,0,5,5,0.0,18
591518,CR-0000043245,0,0,1,0,0,3,0.0,18
591519,CR-0000054192,0,1,0,0,1,1,0.0,12
591520,CR-0000054318,0,0,0,0,5,3,22.0,13
591521,CR-0000062095,0,0,1,0,5,4,0.0,14
591522,CR-0000062210,0,0,0,0,5,2,775.0,19
591523,CR-0000076803,1,0,0,0,5,2,330.0,1
591524,CR-0000072592,0,0,0,0,5,2,248.0,10
591525,CR-0000073267,0,0,0,0,5,2,40.0,19
591526,CR-0000060668,0,0,0,0,5,1,248.0,9
591527,CR-0000077283,0,0,0,0,5,2,36.0,3
591528,CR-0000073071,0,1,0,0,5,2,45.0,17
591529,CR-0000072788,0,0,0,0,5,2,26.0,8
591530,CR-0000054951,0,0,0,0,5,6,100.0,14
591531,CR-0000054948,1,2,0,0,5,0,0.0,11
591532,CR-0000054944,0,0,0,0,4,5,0.0,0
591533,CR-0000054112,1,0,0,0,5,1,63.0,2
591534,CR-0000054248,0,0,0,0,5,3,3.0,17
591535,CR-0000057033,0,0,1,0,5,2,0.0,18
591536,CR-0000037903,0,0,0,0,5,3,0.0,13
591537,CR-0000038162,0,0,0,0,5,3,0.0,22
591538,CR-0000057353,0,0,0,0,5,2,150.0,17
591539,CR-0000048168,3,0,0,0,5,1,0.0,17
591540,CR-0000048486,0,0,0,0,5,3,56.0,2
591541,CR-0000053430,0,0,0,0,5,5,0.0,20
591542,CR-0000053295,0,0,0,0,4,5,0.0,11
591543,CR-0000055977,0,0,0,0,4,6,0.0,13
591544,CR-0000054955,0,1,0,0,5,0,0.0,19
591546,CR-0000055732,0,0,0,0,5,3,20.0,2
591547,CR-0000053646,1,0,0,0,6,0,0.0,13
591548,CR-0000053781,0,0,0,0,5,5,90.0,18
591549,CR-0000053562,1,0,0,0,5,3,0.0,14
591550,CR-0000042408,0,0,0,0,5,3,106.0,20
591551,CR-0000048369,0,0,0,0,4,3,38.0,18
591552,CR-0000048368,0,0,0,0,4,3,135.0,16
591553,CR-0000042275,1,0,0,0,5,3,224.0,17
591554,CR-0000054238,0,0,0,0,5,3,300.0,3
591555,CR-0000038501,0,0,0,1,5,3,60.0,5
591556,CR-0000038772,0,0,0,0,5,3,10.0,11
591557,CR-0000055432,0,0,0,0,5,3,50.0,1
591558,CR-0000063224,0,0,0,0,5,4,155.0,9
591559,CR-0000063067,1,0,0,0,5,2,99.0,11
591560,CR-0000075496,0,0,0,0,5,2,0.0,0
591561,CR-0000053579,0,0,0,0,5,3,218.0,22
591562,CR-0000055124,1,0,0,0,5,5,140.0,19
591563,CR-0000047907,0,0,0,0,5,6,15.0,11
591564,CR-0000056759,0,0,0,0,4,5,0.0,17
